title,episodes,mark,score,is_finish,link,series_follow,follows,coins,likes,danmus,views,season_id,media_id,tags,comments,pub_date,intro
岸边露伴 一动也不动,全4话,独家,9.9分,1,https://www.bilibili.com/bangumi/play/ss38035,5456960,5195234,80729,272069,68459,9623839,38035,28233715,"['漫画改', '奇幻', '战斗']",12237,2021/2/20,本作是在「JOJO的奇妙冒险 不灭钻石」中登场的漫画家?岸边露伴，为了收集漫画的素材而前往各地后所遭遇的奇妙见闻集！
悠哉日常大王 第三季,更新至第8话,独家,9.9分,0,https://www.bilibili.com/bangumi/play/ss36204,1451833,1411113,197644,310024,125331,10507316,36204,28231846,"['漫画改', '日常', '萌系', '治愈']",13027,2021/1/11,「旭丘分校」的学生，仅有五人。虽然学年性格各不相同，但大家一起做菜、一起捉虫、一起试着练习乐器……春夏秋冬四季变换的乡村生活，一直都那么让人兴奋。虽然一如既往地平和，但在欢笑和感动当中，心中也变得温暖起来。悠哉悠哉的几位成员所度过的日常，再一次开始了。
Love Live! 学园偶像 电影,全1话,独家,9.9分,1,https://www.bilibili.com/bangumi/play/ss35182?theme=movie,1736399,1635618,39757,74315,36463,1552355,35182,28230704,"['原创', '校园', '偶像']",7772,2015/6/13,【本字幕由LoveEcho!字幕组协力译制】学园偶像们以演出角逐的大赛“LoveLive!”的上届优胜者μ's，由于三年级的毕业而决定活动结束，然而在毕业典礼后，μ's众人突然收到了一条消息，并由此展开了新的演唱会。与从未见过的世界接触，一点一点成长着的九个人。她们作为学园偶像，出现了最后能做到的事情。在有限的时间里，μ's所发现的最为愉悦的演唱会。
来自深渊 剧场版总集篇,全2话,独家,9.9分,1,https://www.bilibili.com/bangumi/play/ss34544,769704,318750,27130,55051,42657,2917411,34544,28230043,"['漫画改', '奇幻', '冒险', '架空']",7037,2019/1/4,在每一个角落都被探索完毕的世界中，唯一残留的秘境——大洞穴“深渊”。不知道延续到何方，深不见底的巨大纵向洞穴，栖息着奇妙奇怪的生物们，沉眠着现在的人类无法制造的贵重遗物。“深渊”那充满了不可思议的姿态吸引了人们，并驱使人们展开冒险。如此，多次挑战大洞穴的冒险者们，陆续得到了“探窟家”的名号。住在建造于深渊边缘的城镇“奥斯”的孤儿莉可，梦想着有朝一日成为母亲那样伟大的探窟家，并解开深渊的谜团。这样的某一天，莉可在探索深渊的途中，捡到了有着少年样貌的机器人……？
黄金神威 第三季,全12话,会员专享,9.9分,1,https://www.bilibili.com/bangumi/play/ss34419,603655,396107,61387,123413,68492,6466962,34419,28229888,"['漫画改', '冒险', '历史', '搞笑']",11369,2020/10/5,杉元能否与阿席莉帕重逢！？于极寒之地开启新局面的生存竞争，桦太篇开幕！！！网走监狱展开的激烈的攻防战之后，「不死之身」的杉元佐一与阿伊努族少女?阿席莉帕走散了。阿席莉帕与白石由竹一道，随着奇罗蓝克与尾形百之助前往了留有父亲足迹的地方?桦太。抢夺阿依努金块的罪魁祸首「野篦坊」如今已经死去，能破解谜题的只有其女阿席莉帕。奇罗蓝克的目的在于带上她与曾经的伙伴——极东俄罗斯的帕鲁其藏汇合。而另一边，与第七师团的鹤见中尉联手的杉元与谷垣源次郎要报名参加先遣队。与月岛中士及鲤登少尉一同向桦太出发。在这片北海道以...
请问您今天要来点兔子吗？BLOOM,全12话,独家,9.9分,1,https://www.bilibili.com/bangumi/play/ss34415,2603996,2436792,192323,383131,185623,11085063,34415,28229884,"['漫画改', '日常', '萌系', '治愈']",15429,2020/10/10,心爱在木造房屋小镇度过的第二个夏天即将结束，季节即将变成各种盛大活动满载的秋季。不论是在学校还是在Rabbit House，都有很多开心的事情！心爱、智乃以及大家都难以抑制对未来的期待……！
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,全12话,独家,9.9分,1,https://www.bilibili.com/bangumi/play/ss32982,7700422,7089950,1928305,877696,3522496,170215233,32982,28228367,"['搞笑', '校园', '恋爱', '漫画改']",197820,2020/4/12,秀才所聚集的名校·秀知院学园，在那里的学生会相遇的副会长·四宫辉夜与会长·白银御行，是任何人都认为适合对方的两个天才，原以为他们马上就能交往了，但他们因为自尊心超强一直没能告白！！在“如何让对方告白”的恋爱头脑战中绞尽脑汁的2人，那种罕见的才智热暴走！！已经无法控制了！！恋爱使天才变成笨蛋！！新感觉“斗智”？爱情喜剧、再次开战！！
紫罗兰永恒花园外传：永远与自动手记人偶,2020-01-10上映,独家,9.9分,1,https://www.bilibili.com/bangumi/play/ss31779?theme=movie,6641109,5664637,351445,209957,469622,24268881,31779,28226644,"['剧情', '动画', '小说改']",81592,2020/1/10,某个大陆的、某个时代。大陆南北分割的战争结束了，世界走向了和平。在战争中作为军人的薇尔莉特?伊芙加登，怀抱着对她来说无比重要之人留下的“话语”，离开军队来到了大港口城市。踊跃的人群在排列着煤气灯的街道马路上来来往往地穿梭着。薇尔莉特在街道上找到了“代写书 信”的工作。那是根据委托人的想法来组织出相应语言的工作。她直面委托人、触碰着他们内心深处的坦率感情。与此同时，薇尔莉特在记录书信时，渐渐明白那“话语”的含义...
吹响吧！上低音号～誓言的终章～,全1话,独家,9.9分,1,https://www.bilibili.com/bangumi/play/ss28951?theme=movie,1421693,825068,46737,23908,105113,2642888,28951,28223448,"['日常', '校园', '励志', '音乐']",17235,2019/4/19,【故事接第二季后的完全新作】北宇治高中吹奏乐部去年顺利地在全日本吹奏乐大赛出场。升入二年级的黄前久美子，和三年级的加部友惠一起开始负责指导从四月开始新加入的一年级生们。是进入了全国大赛的学校，自然有很多一年级生入部。其中，有四名新生来到了低音声部。乍一看似乎毫无问题的久石奏。不融入周围的铃木美玲。想要和美玲做朋友的铃木五月。不提及自身事情的月永求。Sunrise祭、选拔赛、以及竞演会。以“全国大赛金奖”为目标的吹奏乐部，却接连发生了问题……！？北宇治高中吹奏乐部，风波不断的日子开始了！
吹响吧！上低音号 第二季,全13话,独家,9.9分,1,https://www.bilibili.com/bangumi/play/ss28937,1421693,892665,43536,22108,155833,4939379,28937,28223434,"['日常', '校园', '励志', '音乐']",15446,2016/10/5,吹奏乐竞赛京都府大赛。在那里漂亮地取得金奖的北宇治高中吹奏乐部，向着下一个舞台·强豪云集的关西大赛发起挑战……！
