title,episodes,mark,score,is_finish,link,series_follow,follows,coins,likes,danmus,views,season_id,media_id,tags,comments,pub_date,intro
青山刚昌短篇集,2,1,9.8,1,https://www.bilibili.com/bangumi/play/ss36724,42054,42054,3699,14313,4359,554725,36724,28232389,"['漫画改', '恋爱']",354.0,1999/3/17,《青山刚昌短篇集》特辑。在包含了《名侦探柯南》作者青山刚昌的出道作的短篇集中，青山亲自选出3部作品作成了动画。虽然是《名侦探柯南》发表前的作品，但是OVA已经和播放中的《名侦探柯南》同期制作，且工作人员和声优均为原班人马。《青山刚昌短篇集1》 3部作品的阵容是《要等我哦》、《彷徨的红蝴蝶》、《夏天的圣诞老人》。每部都以“时间”、“空间”和“相遇”为主题。《要等我哦》和《夏天的圣诞老人》都是在科幻色彩的世界观中，高中生纯洁的恋爱模样的写照，时而诙谐幽默，时而又紧张严肃，是一部回味无穷的佳作。另一部《彷徨的红蝴...
斩服少女 OAD,1,0,9.8,1,https://www.bilibili.com/bangumi/play/ss34241,1329569,32219,24186,6789,42722,1831576,34241,28229688,"['原创', '热血', '奇幻']",808.0,2014/9/3,『斩服少女』BD/DVD第9卷收录的一集未放送的特别篇
怪盗基德,12,0,9.8,1,https://www.bilibili.com/bangumi/play/ss33383,648310,439718,29411,33390,107632,7358307,33383,28228780,"['漫画改', '智斗']",3783.0,2010/4/17,拥有“平成鲁邦”之称的怪盗基德，无论防备多么严密的钻石珠宝对他来说都易如反掌。他一直是中森银三等警官的梦魇，而关于他的身份却始终是个谜。某高中二年级学生黑羽快斗，是一个出身于魔术世家的俊朗男孩，他与青梅竹马的女孩中森青子终日打情骂俏，乐在其中，也由此惹出了诸多的麻烦。偶然机会，他在父亲黑羽盗一的画像后面发现一间密室，在这里不仅发现了各种精密的设备，也发现8年前因事故去世的父亲竟和基德有着千丝万缕的关系。数日后，消失多年的怪盗基德发出预告，将要盗取东京市美术馆的宝石月之瞳。警察与盗贼新的战争就此展开……
奇诺之旅,13,0,9.8,1,https://www.bilibili.com/bangumi/play/ss33327,574715,101403,10643,6649,65613,3517891,33327,28228718,"['小说改', '奇幻', '冒险']",1382.0,2003/4/8,奇诺离开了自己居住的国家，与师傅和艾尔梅斯一起在森林中的小屋里住了下来。除了一边帮助师傅做杂活外，还会接受枪械和驾车训练。就这样每天驾着艾尔梅斯练习。某天，奇诺去河边打水，遇上了一位旅行者，他与曾经为了救奇诺而牺牲自己的青年有着同样的打扮，这勾起了奇诺的回忆并使自己与其交谈起来。自此之后，奇诺下定了决心，要开始她自己的旅程。
BanG Dream! 梦想协奏曲 电影演唱会,1,1,9.8,1,https://www.bilibili.com/bangumi/play/ss31861,646174,460507,13587,10091,23523,856280,31861,28227003,"['音乐', '社团', '少女', '声控']",3905.0,2020/1/6,花咲川女子学园结成的少女乐团「Poppin’Party」、从小玩在一起的 5 人所交织而成的王道少女摇滚乐团「Afterglow」、事务所的牵线而诞生出的偶像乐团「Pastel＊Palettes」、以厚重的世界观为魅力的本格派乐团「Roselia」、为了让世界充满欢笑并传递很多旋律的「Hello、HappyWorld！」，五个乐团所迈向的下一个舞台是……！「BanG Dream!」首次的电影演唱会动画「BanG Dream! FILM LIVE」即将举行！
机动战士高达 THE ORIGIN VI：红色彗星的诞生,1,0,9.8,1,https://www.bilibili.com/bangumi/play/ss29051,166661,47758,3105,4100,15374,971871,29051,28223747,"['机战', '科幻', '漫画改']",1031.0,2018/7/13,过去篇共6话，终于迎来了完结——。故事发生在宇宙世纪 0079 年 1 月 23 日，吉翁与地球联邦间一决雌雄的战争，终于在 SIDE 5 鲁姆爆发。在战争中被逼入绝境的吉翁，手中握有秘密武器。就是用人型兵器「MS」所组成的特别突击大队，让战况一举逆转并大获全胜。当中，隶属吉翁军的夏亚?阿兹那布尔，驾驶着「萨克Ⅱ」立下战积并因此晋升为少校，更获得「红色彗星」的别名。而在鲁姆会战后，地球联邦军策画了对抗吉翁军的＂V 作战＂。远在 SIDE 7 的少年阿姆罗?雷，自行动身去找寻新兵器「钢弹」的秘密。另一方面，在地球的南极大陆，吉翁及地球...
剧场版 阿松,1,1,9.8,1,https://www.bilibili.com/bangumi/play/ss28960?theme=movie,711147,467807,9463,10507,27540,949767,28960,28223473,"['日常', '漫画改', '搞笑']",3282.0,2019/11/9,某天，六胞胎参加了高中同窗会。与成长为成熟大人、在社会上活跃的同学们重逢。对比之下发现自己完全不成器，他们因此大受打击，喝完闷酒之后睡着了。第二天早晨，清醒的小松等人注意到房间中的异变，来到街上。印入眼中的是与平日里不同却又有些熟悉的景色。众人正要怀疑这里是不是「过去世界」时，大裤衩告知他们「6人中的某人，在这个时代留下了巨大的遗憾」。为确认真相，他们要去见的人，是18岁时的自己…
吹响吧！上低音号～想要传达的旋律～,1,1,9.8,1,https://www.bilibili.com/bangumi/play/ss28950?theme=movie,1421693,655735,10766,7208,14304,1033273,28950,28223447,"['小说改', '日常', '校园', '萌系']",3565.0,2017/9/30,重制于电视动画《吹响吧！上低音号》第二季的总集篇剧场版，加入了部分原来TV没有的新画面。
吹响吧！上低音号～欢迎来到北宇治高中吹奏乐部～,1,1,9.8,1,https://www.bilibili.com/bangumi/play/ss28938?theme=movie,1421693,651529,10266,7723,14879,999668,28938,28223435,"['小说改', '日常', '萌系', '校园']",3128.0,2016/4/23,重制于电视动画《吹响吧！上低音号》的总集篇剧场版，加入了部分原来TV没有的新画面。
排球少年！！第二季（僅限港澳台地區）,25,0,9.8,1,https://www.bilibili.com/bangumi/play/ss28737,56227,31423,1201,916,12364,460935,28737,28223025,"['漫画改', '热血', '校园', '运动']",764.0,2015/10/3,在宮城縣預選賽敗于青葉城西後，烏野高中排球部為了春季高中排球賽而努力，為了磨練實力，他們參加了由枭谷學園組織，包括音駒高中在內的數所關東高校組成的練習賽團體。通過這次合宿，烏野高中排球部的所有人都得已“進化”，于春季高中排球賽上大放異彩。
排球少年 烏野高校 VS 白鳥澤學園高校（僅限港澳台地區）  ,10,0,9.8,1,https://www.bilibili.com/bangumi/play/ss28115,56227,42357,1139,730,6811,249305,28115,28221589,"['漫画改', '热血', '运动', '社团']",893.0,2016/10/7,“沒落的強豪，無法飛翔的烏鴉”——。曾經被如此稱呼的烏野高中，終於抵達的“頂”之舞臺。春季高中排球宮城縣代表決定戰，優勝。在高中聯賽預選準決勝中惜敗於青葉城西高中，朝著春高預選再次啟程的烏野，為追求更高等級而挑戰的是與關東強豪隊伍進行的聯合合宿。痛感到與並列於梟谷、生川、森然、音駒的全國級別隊伍之間的力量差，烏野高中追求著隊伍的“進化”，壹心持續著挑戰。終於到來的春高預選。壹度封印起來的日向與影山的“怪人速攻”展現出更進壹步的進化，每個齒輪相互咬合，驅動著隊伍全體，烏野將並列的強豪們擊破。之後，在宮...
彼方的阿斯特拉（僅限港澳台地區）,12,0,9.8,1,https://www.bilibili.com/bangumi/play/ss28017,92702,92702,5597,5269,16089,479027,28017,28221416,"['漫画改', '科幻', '冒险']",3127.0,2019/7/3,在宇宙的彼方存活下去吧。時值太空旅行已司空見慣的時代。凱亞德高中的學生阿莉艾斯·斯普林，因為即將啟程參加第一次行星露營而激動不已。和她同屬一個小組的是，包括在太空港有過一面之緣的卡納特·霍西吉曼在內的9名成員。一行人順利抵達了行星馬庫珀……但是很快就發生了出人意料的事態。
机动战士高达 THE ORIGIN I：苍瞳的卡斯巴尔,1,0,9.8,1,https://www.bilibili.com/bangumi/play/ss27064,166661,101992,4034,3597,6679,900278,27064,28220112,"['机战', '科幻', '漫画改']",1039.0,2015/4/24,宇宙世纪0068年，SIDE 3，慕佐自治共和国。准备发表从地球联邦政府完全独立宣言的吉翁．兹姆．戴肯，突然在演说中倒下并离开人世。戴肯的两位遗孤卡斯巴尔与阿尔黛西亚，其命运有如接下来激烈动荡的时代般，正等着他们…
MIX,24,1,9.8,1,https://www.bilibili.com/bangumi/play/ss26770,190527,190527,30476,32641,42131,6287594,26770,21989385,"['漫画改', '运动', '社团', '恋爱']",4461.0,2019/4/6,由于父母的再婚，虽然无血缘关系的但出生年日相同的双胞胎（？）兄弟——立花投马与立花走一郎是明青学园初中部·棒球社的初中二年级生。作为捕手和击球手的走一郎非常的活跃。而投马由于某些原因而担任三垒手，却拥有着作为投手的才能。走一郎的亲妹妹同时也是投马无血缘关系的义妹·立花音美也进入了初中，三人之间的氛围也发生了一些变化。升上高中的投马与走一郎，到底能否站在甲子园的土地之上——
