title,episodes,mark,score,is_finish,series_follow,follows,coins,likes,danmus,views,area,count,season_type,season_id,media_id,link
路人超能100 III(灵能百分百 第三季),更新至第6话,独家,9.9,0,5139314,4994916,201746,431421,112107,28308891,日本,8217,1,43141,28339709,https://www.bilibili.com/bangumi/play/ss43141
海绵宝宝 中文配音,更新至第161话,,9.9,1,1831107,1360931,455782,1880822,965406,243619346,美国,31272,1,41013,28236719,https://www.bilibili.com/bangumi/play/ss41013
银魂,全201话,会员专享,9.9,1,3044054,2939641,1265690,3030624,1997635,282916518,日本,64363,1,38157,28233839,https://www.bilibili.com/bangumi/play/ss38157
猫和老鼠 旧版,全55话,,9.9,1,3191965,2937757,625932,1262188,2266595,298401329,美国,69101,1,357,132112,https://www.bilibili.com/bangumi/play/ss357
你的名字。,2016-08-26上映,,9.9,1,4321282,3157205,1185644,1002611,2238026,95287799,日本,104323,2,12044,12044,https://www.bilibili.com/bangumi/play/ss12044?theme=movie
路人超能100 II(灵能百分百 第二季),全13话,独家,9.9,1,5139316,2954676,595849,440997,1015368,113522111,日本,82053,1,26297,4762734,https://www.bilibili.com/bangumi/play/ss26297
百变小樱,全70话,,9.9,1,4279185,2144491,267898,498056,8134085,114839974,日本,29534,1,3756,3756,https://www.bilibili.com/bangumi/play/ss3756
银魂 第二季,全64话,会员专享,9.9,1,3044054,1660163,264691,705268,536096,79629844,日本,21471,1,38158,28233840,https://www.bilibili.com/bangumi/play/ss38158
强风吹拂,全23话,会员专享,9.9,1,2268672,2268670,614870,599062,679128,64662088,日本,84352,1,25742,139352,https://www.bilibili.com/bangumi/play/ss25742
家庭教师HITMAN REBORN!,全203话,,9.9,1,1812829,1811909,267924,446239,3653317,133062669,日本,46359,1,1376,1376,https://www.bilibili.com/bangumi/play/ss1376
碧蓝之海,全12话,独家,9.9,1,4651248,4651248,1018560,1105791,1060663,152271318,日本,133927,1,24581,102312,https://www.bilibili.com/bangumi/play/ss24581
紫罗兰永恒花园 剧场版 ,2021-12-25上映,独家,9.9,1,8970500,8061352,498744,593493,348736,24451408,日本,65310,2,40028,28235728,https://www.bilibili.com/bangumi/play/ss40028?theme=movie
排球少年！！,全25话,会员专享,9.9,1,1371785,1242536,261019,368567,966655,51671462,日本,40802,1,2727,28221614,https://www.bilibili.com/bangumi/play/ss2727
JOJO的奇妙冒险 星尘远征军 埃及篇,全24话,独家,9.9,1,8776692,4327750,494124,823993,4993662,149910717,日本,73687,1,4213,28223483,https://www.bilibili.com/bangumi/play/ss4213
迪迦奥特曼（中配）,全52话,会员专享,9.9,1,2296550,1715113,1121316,1902461,1159250,131171399,日本,94534,1,38385,28234069,https://www.bilibili.com/bangumi/play/ss38385
精灵宝可梦 无印,全271话,会员专享,9.9,1,1931379,827347,97067,218547,2189189,62377963,日本,9248,1,5761,5761,https://www.bilibili.com/bangumi/play/ss5761
ReLIFE,全13话,独家,9.9,1,2431890,2335766,349688,428540,325630,34408982,日本,45084,1,5012,28229193,https://www.bilibili.com/bangumi/play/ss5012
银魂 第三季,全51话,会员专享,9.9,1,3044054,1619151,195128,505665,358388,53684223,日本,13517,1,38159,28233841,https://www.bilibili.com/bangumi/play/ss38159
日常,全26话,独家,9.9,1,3747968,3747967,335003,503932,1246668,64536401,日本,66561,1,844,844,https://www.bilibili.com/bangumi/play/ss844
3月的狮子 第二季,全22话,,9.9,1,1588162,613662,146772,86901,280166,16374886,日本,20323,1,6445,6445,https://www.bilibili.com/bangumi/play/ss6445
前进吧！登山少女 第四季,更新至第6话,独家,9.9,0,516443,494786,8366,42349,5767,804683,日本,696,1,43151,28339719,https://www.bilibili.com/bangumi/play/ss43151
银河英雄传说：全新命题 策谋,更新至第6话,独家,9.9,0,541025,524499,8221,36585,5678,1059518,日本,644,1,43149,28339717,https://www.bilibili.com/bangumi/play/ss43149
俺物语！！,全24话,会员专享,9.9,1,1598743,1598743,494357,441392,1508738,40354756,日本,57347,1,4197,28223816,https://www.bilibili.com/bangumi/play/ss4197
相合之物,全12话,会员专享,9.9,1,516107,516108,84239,235862,67307,9846658,日本,13547,1,41574,28237283,https://www.bilibili.com/bangumi/play/ss41574
玉子爱情故事,全1话,,9.9,1,3924331,2455151,361569,248862,623599,22901035,日本,41457,1,4155,4155,https://www.bilibili.com/bangumi/play/ss4155?theme=movie
街角魔族 第二季,全12话,独家,9.9,1,2050806,1905698,124698,341292,85017,11988956,日本,19788,1,41520,28237229,https://www.bilibili.com/bangumi/play/ss41520
秘密内幕 女警的反击,全13话,会员专享,9.9,1,718867,718867,123404,364870,120326,15836221,日本,19766,1,40257,28235961,https://www.bilibili.com/bangumi/play/ss40257
擅长捉弄的高木同学 第三季,全12话,会员专享,9.9,1,3562668,3382622,1578168,1685362,699143,56074598,日本,71674,1,40156,28235860,https://www.bilibili.com/bangumi/play/ss40156
星之梦～雪圈球～,全1话,独家,9.9,1,1316764,1210207,42837,63703,13185,1529438,日本,5311,1,39288,28234980,https://www.bilibili.com/bangumi/play/ss39288
盖亚奥特曼,全51话,会员专享,9.9,1,2296550,802374,55735,203921,146474,18350604,日本,8130,1,38693,28234382,https://www.bilibili.com/bangumi/play/ss38693
夏目友人帐 唤石者与怪异的访客,全1话,独家,9.9,1,6397632,5676692,182658,285103,185920,14542477,日本,17640,1,38627,28234316,https://www.bilibili.com/bangumi/play/ss38627
迪迦奥特曼,全52话,会员专享,9.9,1,2296550,1094205,247456,470482,221573,40746233,日本,28278,1,38384,28234068,https://www.bilibili.com/bangumi/play/ss38384
奇巧出租车,全13话,会员专享,9.9,1,864074,864074,147095,259490,117319,14284287,日本,30609,1,38245,28233927,https://www.bilibili.com/bangumi/play/ss38245
装甲重拳/MEGALOBOX 第二季,全13话,独家,9.9,1,2812394,2468538,539732,752023,201989,35579418,日本,48885,1,38234,28233916,https://www.bilibili.com/bangumi/play/ss38234
佐贺偶像是传奇 卷土重来,全12话,独家,9.9,1,1438341,1438340,331862,573503,244787,26397889,日本,30915,1,37575,28233251,https://www.bilibili.com/bangumi/play/ss37575
