tags,pub_date,long_com,short_com,cv,staff,intro,media_id
"['漫画改', '奇幻', '热血', '战斗']",2022年10月5日,长评 ( 18 ),短评 ( 3075 ),"影山茂夫：伊藤节生,灵幻新隆：樱井孝宏,小酒窝：大冢明夫,影山律：入野自由,花泽辉气：松冈祯丞,芹泽：星野贵纪,暗田留：种崎敦美,蕾：佐武宇绮,米里一：岛村侑,乡田武藏：关俊彦,鬼瓦天牙：细谷佳正","原作：ONE（小学馆《MangaONE》连载）,总导演：立川让,导演：莲井隆弘,剧本统筹：濑古浩司,角色设计：龟田祥伦,美术导演：河野羚,色彩设计：中山志保子,摄影导演：古本真由子,剪辑：广濑清志,音响导演：若林和弘,音响效果：仓桥静男、绪方康恭,音乐：川井宪次,动画制作：BONES",一旦达到100时便会发生情况的青春超能力故事。某个数值达到「100」时就会爆发的少年——龙套。他看似平平无奇，其实拥有着强大的超能力。他的师父，冒牌灵能力者——灵幻新隆开有一家灵类咨询所。在帮师父处理棘手委托的每一天里，希望度过平淡青春的龙套，能否迎来平稳的生活呢？以青春为动力，超能力失控在即！备受全世界期待的第三季正在制作中！,28339709
"['少儿', '搞笑']",1999年7月17日,长评 ( 36 ),短评 ( 7362 ),"海绵宝宝：魏伯勤 / 陈浩(#01-87，#113-126),派大星：符爽 / 孙悦斌(#01-87，#113-126),章鱼哥：曹冀魯 / 李易(#01-87，#113-126),蟹老板 ：宋克军 / 白涛(#01-87，#113-126)","编剧：Stephen Hillenburg,导演：Stephen Hillenburg, Vincent Waller",海绵宝宝是方块形的黄色海绵，住在比基尼海滩（裤头村、比奇堡）的一个菠萝里，他的宠物是一只会“猫~猫~”叫的海蜗牛小蜗，海绵宝宝喜欢捕捉水母，职业是蟹堡王（The Krusty Krab）里的头号厨师。派大星和姗迪都是他的朋友。海绵宝宝总是能给平静的世界制造麻烦，虽然闹出一些笑话，不过他总能摆脱困境，然后又制造出新的麻烦。,28236719
"['漫画改', '热血', '搞笑', '战斗']",2006年4月6日,长评 ( 119 ),短评 ( 18413 ),"坂田银时：杉田智和,志村新八：阪口大助,神乐：钉宫理惠,定春：高桥美佳子,志村妙：雪野五月,登势：くじら,凯瑟琳：杉本优,近藤勋：千叶进步,土方十四郎：中井和哉,冲田总悟：铃村健一,山崎退：太田哲治,桂小太郎：石田彰,坂本辰马：三木真一郎,高杉晋助：子安武人,神威：日野聪","原作：空知英秋/集英社,监督：高松信司（1-105），藤田阳一（101-201）,监修：高松信司,系列构成：大和屋晓,人物设计：竹内进二,作品设定：乙幡忠志,机械设定：今石进（1-105），乙幡忠志（106-201）,美术监督：野村裕树,色彩设定：歌川律子,摄影监督：老平英,编集：濑山武司（1-201）,CG监督：古川贵之（1-24），真田竹志（25-201）,音乐：Audio Highs,音响监修：小林克良,音响监督：高松信司,制片人：东不可止（东京电视台）、笹田直树、樋口弘光,企划经理：冈林曜子（东京电视台）、吉多奈央（东京电视台）,动画制作：SUNRISE",江户时代末期， 被称为“天人”的谜之异星人来袭。于是地球人与天人之间的战争瞬即爆发，为数众多的武士和攘夷派志士都参与与天人的战斗，幕府见识到天人强大的实力后，最终向天人低头，放弃武士不管，擅自与天人签订不平等条约，准许他们入国。其后更颁布了“废刀令”，夺走了武士的刀，使他们无力反抗。自此，天人横行霸道，幕府为天人所影响，甚至被控制，成为了“傀儡政权”。在这样的时代，有一个武士与同伴愉快地过著异想天开的生活。,28233839
"['搞笑', '日常', '少儿']",1940年2月10日,长评 ( 47 ),短评 ( 20082 ),0,0,机灵老鼠与笨猫的故事，堪与米老鼠和唐老鸭的故事相媲美。没有动物世界中恃强凌弱的残酷，只有两个邻居之间的日常琐事和纷争，诸如杰瑞偷吃了汤姆的奶酪，汤姆把捕鼠器放到了杰里的洞门口等等，中间穿插的无数恶作剧和幽默片断，让人感受到久违的天真快意。它们之间的关系常在一瞬间发生变化——化敌为友或势不两立：为敌时绞尽脑汁，互不相让；为友时，亲如兄弟，谁也不记仇。,132112
"['爱情', '剧情', '动画']",2016年8月26日,长评 ( 247 ),短评 ( 27525 ),神木隆之介、上白石萌音、长泽雅美、市原悦子、成田凌、悠木碧、岛崎信长、石川界人、谷花音、寺杣昌纪、大原沙耶香、井上和彦、茶风林、加藤有花、花泽香菜、寺崎裕香,"导演：新海诚,编剧：新海诚",在远离大都会的小山村，住着巫女世家出身的高中女孩宫水三叶。不知从何时起，三叶在梦中就会变成一个住在东京的高中男孩。另一方面，住在东京的高中男孩立花泷则总在梦里来到陌生的小山村，以女孩子的身份过着全新的生活。许是受那颗神秘彗星的影响，立花和三叶在梦中交换了身份。,12044
"['热血', '奇幻', '战斗', '漫画改']",2019年1月7日,长评 ( 167 ),短评 ( 27273 ),"影山茂夫（龙套）：伊藤节生,灵幻新隆：樱井孝宏,影山律：入野自由,花泽辉气：松冈祯丞,鬼瓦天牙：细谷佳正,米里一：藤村步,暗田留：种崎敦美,蕾：佐武宇绮","监督：立川让,系列构成：濑古浩司,角色设计：龟田祥伦,美术监督：河野羚,色彩设计：中山志甫子,摄影监督：古本真由子,编辑：广濑清志,音响监督：若林和弘,音乐：川井宪次,动画制作：BONES",当有什么东西达到“100”的时候，就会爆发的少年·路人（龙套）。外表极其普通——不如说是不起眼。不擅长迎合气氛的他，实际上拥有着强力的超能力。盯上了这样的他的能力，而接连现身的伪灵能力者以及宗教团体、不良头头、谜之秘密组织……。在追求普通青春的龙套之处，平稳的日子究竟会不会到来？,4762734
"['少女', '魔法']",1998年4月7日,长评 ( 96 ),短评 ( 8893 ),"木之本樱：丹下樱,可鲁贝洛斯：久川绫,李小狼：熊井统子,大道寺知世：岩男润子,月城雪兔：绪方惠美,木之本桃矢：关智一,李莓铃：野上由加奈,观月歌帆：篠原惠美","原作：CLAMP,监督：浅香守生,系列构成：大川七濑（CLAMP）,角色设计：高桥久美子,服装&卡片设计：もこなあぱぱ（CLAMP）,美术监督：针生胜文,音乐：根岸贵幸,音响监督：三间雅文,摄影监督：白井久男,动画制作：Madhouse,动画制片人：小野达矢,制片人：近藤荣三,制作统括：内沢康子、渡辺昭",木之本樱，是擅长体育的小学4年级学生。某天，小樱从学校回家，在平常都没有人的地下书房发现似乎有什么人的样子。小樱走下去一看，那里有一本闪耀着金色光芒的书。里面装有牌，然而，在读写在上面的文字的时候，刮来了剧烈的风，牌四处飞散开去。从书的最后，出现了名为可鲁贝洛斯的奇妙生物，书中写着库洛牌的封印被解开之时，灾难就会降临世间之类的话。随后，可鲁贝洛斯将封印的钥匙交给了小樱，令她成为收复牌的魔卡捕获者。当晚，小樱用魔法与实体化的魔卡对决……,3756
"['漫画改', '热血', '搞笑', '战斗']",2011年4月4日,长评 ( 21 ),短评 ( 5990 ),"坂田银时：杉田智和,志村新八：阪口大助,神乐：钉宫理惠,定春：高桥美佳子,志村妙：雪野五月,登势：くじら,凯瑟琳：杉本优,近藤勋：千叶进步,土方十四郎：中井和哉,冲田总悟：铃村健一,山崎退：太田哲治,桂小太郎：石田彰,坂本辰马：三木真一郎,高杉晋助：子安武人,神威：日野聪","原作：空知英秋/集英社,监督：藤田阳一,监修：高松信司,系列构成：大和屋晓,人物设计：竹内进二,作品设定：乙幡忠志,机械设定：乙幡忠志,美术监督：野村裕树,色彩设定：歌川律子,摄影监督：老平英,编集：濑山武司,CG监督：真田竹志,音乐：Audio Highs,音响监修：小林克良,音响监督：高松信司,制片人：东不可止（东京电视台）、笹田直树、樋口弘光,企划经理：冈林曜子（东京电视台）、吉多奈央（东京电视台）,动画制作：Sunrise（日升动画）",随着天人（宇宙人）的袭击，城镇和整个江户的价值观发生了改变，宇宙人、高层建筑、摩托车什么的都出现在了世界上。此时依然存在着有着不变灵魂的最后的武士，这个男人的名字是坂田银时，通称万事屋・阿银。阿银是个马虎、鲁莽并且超爱甜食的人，每天在悠哉和若无其事中度过。在与伙伴们共度的时光中，阿银过着充满着笑与泪的温暖生活。,28233840
"['运动', '励志', '小说改', '热血']",2018年10月3日,长评 ( 409 ),短评 ( 32754 ),"藏原走：大塚刚央,清濑灰二：丰永利行,柏崎茜：入野自由,城太郎：榎木淳弥,城次郎：上村祐翔,杉山高志：内山昂辉,坂口洋平：北泽力,岩仓雪彦：兴津和幸,平田彰宏：星野贵纪,穆萨·卡马拉：株元英彰,胜田叶菜子：木村珠莉,榊浩介：河西健吾,田崎源一郎：中村浩太郎","原作：三浦紫苑《强风吹拂》（新潮文库刊）,监督：野村和也,系列构成、剧本：喜安浩平,角色设计：千叶崇洋,主动画师：高桥英树、向田隆,音响监督：菊田浩巳,音乐：林友树,动画制作：Production I.G,企划协力：新潮社",夜晚。如同逃跑一般奔驰在城市中的藏原走。他的侧面，突然有辆自行车冲来。素不相识的男子，对阿走发问了。“喂！你很喜欢跑步吧！”男子的名字是清濑灰二。 就这样，阿走在灰二的引导下，到达了名为竹青庄的老旧公寓。9名个性丰富的住民住在那里。阿走来到最后的空房间，虽然感到困惑，却仍然被强行留下。他怎么也没有想到，自己会成为这里的“第10个男人”……。,139352
"['奇幻', '热血', '战斗', '漫画改']",2006年10月7日,长评 ( 272 ),短评 ( 15887 ),"里包恩：ニーコ、成田剑,泽田纲吉：国分优香里,六道骸：饭田利信,笹川了平：木内秀信,库洛姆·骷髅：明坂聪美,云雀恭弥：近藤隆,山本武：井上优,狱寺隼人：市濑秀和","原作：天野明,导演：今泉賢一,脚本：面出明美,音乐：佐橋俊彦,人物原案：天野明,人物设定：田中将賀,系列构成：岸間信明,色彩设计：山下圭子,美术监督：松宮正純,原画：吉原達矢、馬場充子、吉成鋼、鳥居貴史、神本兼利、奥野治男、山本寛,总作画监督：日向正樹,作画监督：日向正樹、奥野浩行、神本兼利、福島豊明,监修：石黒昇,动画制作：ARTLAND",本片是围绕彭格列第十代首领泽田纲吉与其家族成员的成长而展开的。彭格列初代后裔泽田纲吉是一个做什么都不行的“废柴纲”，但是为了培养成为彭格列家族首领，从意大利来了的里包恩负责教导纲吉。内心善良的他不愿意伤害别人，但他为了保护同伴而开始承担起责任，成长为一名优秀的首领。,1376
