tags,pub_date,long_com,short_com,cv,staff,intro,media_id
"['日常', '萌系', '泡面', '架空']",2019年5月1日,长评 ( 3 ),短评 ( 799 ),"幸运兽：内田彩,未来：内田彩,薮猫：野中蓝,旁白：尾崎由香","原作：けものフレンズプロジェクト,印象设计：吉崎観音,系列构成 / 脚本：釼持竜太郎,游戏版剧本制作：フロンティアクリエイターズプロジェクト,剧本制作人：栗田真樹生,音响监督：阿部信行,音乐：立山秋航、松野恭平,制作人：細谷伸之、梶井斉、加藤英治,试音：池沢勝斗,监督 / 剧本 / 视频 / 摄影 / 剪辑：春日森春木,企画：けものフレンズプロジェクト,协力：ネクソン（NEXON）",本片为「Kemono Friends Project」的web动画，改编自旧版手游的剧情，声优也沿用了旧版手游的阵容。坐落在这个世界的某个角落的超大型综合动物园「加帕里公园」，依靠着那里的神秘物质「砂之星」的力量，动物一个个都变成了人类的模样。变身成为「兽娘」，来访的人们把她们称为「朋友（friends）」。在热闹中享受着梦幻般的时光。在加帕里公园顺利开业之前，其实有一场巨大危机。这是讲述跨越危机的朋友们和「园长」的冒险故事。担任公园向导的未来小姐和曾经参与冒险的薮猫一行，将这个故事记录了下来。救公园于危机之中的众多朋友们和「园长...,28220802
"['萌系', '奇幻', '原创', '架空']",2019年1月15日,长评 ( 153 ),短评 ( 10401 ),"薮猫：尾崎由香,耳廓狐：本宫佳奈,浣熊：小野早稀,孩子：石川由依,狞猫：小池理子,幸运兽：内田彩,皇家企鹅：佐佐木未来,帝企鹅：根本流风,金图企鹅：田村响华,跳岩企鹅：相羽爱奈,汉波德企鹅：筑田行子,华美风鸟：八木真白,六线风鸟：菅圆","原作 / 原案：Kemono Friends Project,概念设计：吉崎观音,监督：木村隆一,系列构成 / 剧本：增本拓也,CG监督：谷口英男,音响监督：阿部信行,音响效果：今野康之,音乐：立山秋航,动画制作人：沼田心之介,动画制作：Tomason",建造在这个世界中某个角落的超巨大综合动物园「加帕里公园」。那里出现了动物们变成人类姿态的不可思议现象……。不知不觉被称为“朋友（friends）”的动物们，在公园里过着和平的生活。某天，朋友薮猫和狞猫在森林里遇到了人类小孩。饿着肚子的人类孩子好像遇到了麻烦，于是和薮猫她们一起踏上了旅途。旅途中遇到了各种充满个性的朋友们，还有公园的秘密以及各种美食！随后发生了震动大地的大危机！？全新的加帕里公园故事，开始了！！,5345112
"['漫画改', '音乐', '日常']",2022年10月8日,相关视频,0,"后藤独：青山吉能,伊地知虹夏：铃代纱弓,山田凉：水野朔,喜多郁代：长谷川育美","原作：滨路晶（芳文社《Manga Time Kirara MAX》连载中）,导演：斋藤圭一郎,剧本统筹、编剧：吉田惠里香,角色设计、总作画导演：陆田青享,副导演：山本裕介,演唱会导演：川上雄介,演唱会画师：伊藤优希,小道具设计：永木步实,2D素材设计：梅木葵,色彩设计：横田明日香,美术导演：守安靖尚,美术设计：taracod,摄影导演：金森翼,CG导演：宫地克明,演唱会CG导演：内田博明,剪辑：平木大辅,音乐：菊谷知树,音响导演：藤田亚纪子,音响效果：八十正太,制作：CloverWorks",绰号“小孤独”的后藤独，是一个喜爱吉他的孤独少女。经常在家里独自弹奏吉他，但因为一些事情，加入了伊地知虹夏领衔的“纽带乐队”。不敢在他人面前演奏的后藤，能否成为一个出色的乐队成员呢……,28339735
"['萌系', '搞笑', '日常']",2011年3月5日,长评 ( 1 ),短评 ( 15 ),"まりちゃん：早见沙织,ニンニンマン：森川智之,ぴーマン：钉宫理恵,ミルク：井上喜久子,モモちゃん：高桥美佳子,ママ(魔魔)：小山茉美,パパ(羽羽)：樋口武彦","放送开始： 2011年3月5日,导演： 吉原正行,脚本： 吉原正行,音乐： 林ゆうき,人物设定： 吉原正行,作画监督： 川面恒介,原画： 菅沼芙実彦、大東百合恵,剪辑： 黒澤雅之,原案： 吉原正行,音响监督： 明田川仁,动画制作： P.A.WORKS,上映年度： 2011年3月5日,制作： 堀川宪司,系列： 若手アニメーター育成プロジェクト 2011 PROJECT A/青年动画制作者育成计划 PROJECT A",小学二年级小女孩玛丽，在吃了最讨厌的胡萝卜、青椒和牛奶之后就会昏倒，并且会招出三种食物的“怪物”。他们并不是可怕的怪物，而是一群会用魔法的好朋友，帮助玛丽解决一个又一个的问题……,958
"['日常', '治愈']",2011年2月20日,长评,短评 ( 16 ),"立海舞 ：宫本佳那子,立海守声：中村大树,立海雪：岛本须美,立海光：松冈祯丞","脚本：菅正太郎,导演：吉原正行,人物设定：吉原正行,色彩设计：井上佳津枝,作画监督：杉光登,分镜：政木伸一、吉原正行,美术监督：竹田悠介,音乐：eufonius",《我的魔法和家庭日》讲述了小学2年纪的主人公《立海舞》试图理解能够使用魔法的家庭的心情的故事，该作品主要以珍惜家庭的交流和牵绊为主题进行的制作。,957
"['日常', '少儿', '治愈']",2011年4月4日,长评,短评 ( 9 ),0,0,由美国圣地亚哥的插画家Suzy Spafford所创作的人气系列「Suzy's Zoo」，作品的风格清新治愈，讲述可爱的黄色小鸭Witzy，无论何时都跟Witzy在一起的泰迪熊好朋友Boof以及其他动物伙伴们之间发生的故事。今年4月，这部40多年来深受世界各国的大人小孩喜爱的作品，将首度在日本动画化，并且还请来了中原麻衣、白石凉子等超闪亮的声优阵容助阵，可谓期待度满点啊！,945
"['科幻', '热血']",2011年4月1日,长评,短评 ( 29 ),"美版声优,Frost Emma：Hillis Ali,Howlett James：Blum Steven,Ichiki Hisako：Sheh Stephanie,McCoy Henry：Tata..","企画：丸山正雄,原作：MARVEL,导演：木﨑文智,分镜：大塚健、川尻善昭、長濵博史、横山彰利、西村聡,演出：吉沢俊一、博史池畠,人物设定：横山愛,作画监督：横山愛、羽山淳一、飯島弘也,原画：羽山淳一、藤井慎吾、沓名健一、箕輪豊、すしお、石川てつや、奥野治男,背景美术：丸山由紀子,制作管理：牛嶋新一郎,动画制作：MADHOUSE",《X战警》(X-Men)由美国漫威（Marvel）出品，讲述了这个世界上中存在一小部分基因变异的人类，他们拥有各种各样的超能力，被称为“变种人”。大部分人类对于这群异类产生了恐惧和敌视，甚至加以攻击。万磁王为了争取更多变种人的权利，聚集了一批部下不断针对人类进行破坏；而X教授则致力于人类与变种人之间的和谐生存。X教授创办了X学院，收取变种人学生，教导他们知识，让他们能合理运用自己的能力。并培养他们成为X战警，保卫人类与变种人。,944
"['搞笑', '泡面']",2011年4月4日,长评,短评 ( 11 ),"伊达政宗：鈴木達央,伊达成实：杉田智和,长宗我部元亲：能登麻美子,片仓景纲：小野大輔","导演：まんきゅう,CV：鈴木達央,动画制作：GATHERING",「和殿下一起」是漫画家大羽快以战国武将为题材的四格漫画。在月刊Comic Flapper（Media Factory）上连载中的，以战国时代为舞台，集合了所有历史上登场的战国武将的故事为题材的一部短小精悍的四格漫画。故事以日本战国时代为背景，讲述了历史书上战国名将们不为人知的一面。虽然故事中的素材全部取自真实历史记载。但是经过大幅度的夸张变形之后，战功赫赫的一代名将们都将化身为一代吐槽天才。该作于2010年3月推出了OVA动画。2010年7月播放了名为「和殿下一起 1分钟剧场」的电视动画。电视版续篇《和殿下一起 眼罩之野心》于2011年4月4日播出。,937
"['搞笑', '泡面']",2010年7月5日,长评,短评 ( 7 ),"伊达政宗：鈴木達央,伊达成实：杉田智和,长宗我部元亲：能登麻美子,片仓景纲：小野大輔","原作：大羽快,监督·脚本·绘画：まんきゅう《传染》,作画监督：たけはらみのる,原画：渡边あき、ヨコヤママサヨ,音乐制作：FRONTIER WORKS,音乐：杉山圭一,制作：GATHERING",「和殿下一起」是漫画家大羽快以战国武将为题材的四格漫画。在月刊Comic Flapper（Media Factory）上连载中的，以战国时代为舞台，集合了所有历史上登场的战国武将的故事为题材的一部短小精悍的四格漫画。故事以日本战国时代为背景，讲述了历史书上战国名将们不为人知的一面。虽然故事中的素材全部取自真实历史记载。但是经过大幅度的夸张变形之后，战功赫赫的一代名将们都将化身为一代吐槽天才。该作于2010年3月推出了OVA动画。2010年7月播放了名为「和殿下一起 1分钟剧场」的电视动画。电视版续篇《和殿下一起 眼罩之野心》于2011年4月4日播出。,936
"['萌系', '搞笑', '日常', '泡面']",2011年7月1日,长评,短评 ( 20 ),"猫哆：小林由,利达：关智一,猫咪：高桥美佳子,パカセ：高木礼子,普尼：べんぴねこ","原作：CAPCOM《怪物猎人》系列,监修：CAPCOM《怪物猎人》开发团队,监督·人物设定：べんぴねこ·山脇光太郎,动画制作：DLE,制作：GENEON UNIVERSAL",在猫猫们幸福的生活着的村庄里，猫猫们每天都为了村庄的发展以及得到报酬，狩猎特产蘑菇、搬运雌火龙的卵、钓黄金鱼等，勇敢的挑战各项难题。可是村里的几个小伙伴利达、喵咪、帕格塞、普尼等却每次都拖后腿，他们究竟能否应对每次遇到的危机呢，请收看动画《怪物猎人日记 岌岌可危的猫猫村☆猫猫千钧一发》！作品以FLASH动画的形式讲述了猫猫们面对各种困难的故事。负责制作这部动画的是擅长无厘头搞笑的，曾制作《秘密结社 鹰之爪》的DLE。描述可爱的猫猫们全力作战的《怪物猎人日记 岌岌可危的猫猫村☆猫猫千钧一发》还有一个引人注目的亮点...,912
