title,episodes,mark,score,is_finish,follows,coins,likes,danmus,views(million),views,area,count,season_id,long_com,short_com,production,乙女,偶像,催泪,冒险,剧情,动作,动画,励志,历史,原创,喜剧,声控,奇幻,小说改,少儿,少女,恋爱,恐怖,惊悚,战斗,推理,搞笑,无,日常,时泪,智斗,机战,架空,校园,歌舞,治愈,泡面,游戏改,漫画改,热血,爱情,特摄,社团,神魔,科幻,穿越,美食,职场,萌系,萝莉,运动,音乐,魔法,year,month,day,season
路人超能100 III(灵能百分百 第三季),6,独家,9.9,0,4994916,201746,431421,112107,28.31,28308891,日本,8217,43141,18,3075,BONES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,10,5,4
路人超能100 III(灵能百分百 第三季),6,独家,9.9,0,4994916,201746,431421,112107,28.31,28308891,日本,8217,43141,18,3075,BONES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,10,5,4
海绵宝宝 中文配音,161,免费,9.9,1,1360931,455782,1880822,965406,243.62,243619346,美国,31272,41013,36,7362,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,7,17,3
海绵宝宝 中文配音,161,免费,9.9,1,1360931,455782,1880822,965406,243.62,243619346,美国,31272,41013,36,7362,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,7,17,3
银魂,201,会员专享,9.9,1,2939641,1265690,3030624,1997635,282.92,282916518,日本,64363,38157,119,18413,Sunrise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,4,6,2
银魂,201,会员专享,9.9,1,2939641,1265690,3030624,1997635,282.92,282916518,日本,64363,38157,119,18413,Sunrise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,4,6,2
路人超能100 II(灵能百分百 第二季),13,独家,9.9,1,2954676,595849,440997,1015368,113.52,113522111,日本,82053,26297,167,27273,BONES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,1,7,1
百变小樱,70,免费,9.9,1,2144491,267898,498056,8134085,114.84,114839974,日本,29534,3756,96,8893,MADHOUSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1998,4,7,2
银魂 第二季,64,会员专享,9.9,1,1660163,264691,705268,536096,79.63,79629844,日本,21471,38158,21,5990,Sunrise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,4,4,2
银魂 第二季,64,会员专享,9.9,1,1660163,264691,705268,536096,79.63,79629844,日本,21471,38158,21,5990,Sunrise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,4,4,2
强风吹拂,23,会员专享,9.9,1,2268670,614870,599062,679128,64.66,64662088,日本,84352,25742,409,32754,Production I.G,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2018,10,3,4
家庭教师HITMAN REBORN!,203,免费,9.9,1,1811909,267924,446239,3653317,133.06,133062669,日本,46359,1376,272,15887,ARTLAND,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,10,7,4
