title,episodes,mark,score,is_finish,follows,Follows,coins,likes,danmus,views(million),views,area,count,season_id,long_com,short_com,production,乙女,偶像,催泪,冒险,剧情,动作,动画,励志,历史,原创,喜剧,声控,奇幻,小说改,少儿,少女,恋爱,恐怖,惊悚,战斗,推理,搞笑,无,日常,时泪,智斗,机战,架空,校园,歌舞,治愈,泡面,游戏改,漫画改,热血,爱情,特摄,社团,神魔,科幻,穿越,美食,职场,萌系,萝莉,运动,音乐,魔法,year,month,day,season,其他
前进吧！登山少女 第四季,6,独家,9.9,0,49.48 ,494786,8366,42349,5767,0.8,804683,日本,696,43151,3,219,8bit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,10,4,4,0
前进吧！登山少女 第四季,6,独家,9.9,0,49.48 ,494786,8366,42349,5767,0.8,804683,日本,696,43151,3,219,8bit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,10,4,4,0
银河英雄传说：全新命题 策谋,6,独家,9.9,0,52.45 ,524499,8221,36585,5678,1.06,1059518,日本,644,43149,2,113,无,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,9,30,3,1
银河英雄传说：全新命题 策谋,6,独家,9.9,0,52.45 ,524499,8221,36585,5678,1.06,1059518,日本,644,43149,2,113,无,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,9,30,3,1
星之梦～雪圈球～,1,独家,9.9,1,121.02 ,1210207,42837,63703,13185,1.53,1529438,日本,5311,39288,17,1892,Okuruto Noboru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2021,8,25,3,1
星之梦～雪圈球～,1,独家,9.9,1,121.02 ,1210207,42837,63703,13185,1.53,1529438,日本,5311,39288,17,1892,Okuruto Noboru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2021,8,25,3,1
浪客剑心 追忆篇,4,限时免费,9.9,1,52.70 ,527000,41958,50871,36126,5.11,5108026,日本,11047,3578,37,3525,Studio DEEN,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,2,20,1,1
命运石之门 负荷领域的既视感,1,免费,9.9,1,68.88 ,688765,101016,58989,249992,9.18,9177375,日本,16508,3467,59,5296,WHITE FOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2013,4,20,2,1
来自深渊 剧场版总集篇,2,独家,9.9,1,60.60 ,606046,61161,113725,75648,7.24,7236456,日本,11582,34544,46,3521,KINEMA CITRUS,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,1,4,1,1
吹响吧！上低音号～誓言的终章～,1,独家,9.9,1,91.66 ,916578,69032,45716,127172,3.76,3756564,日本,21343,28951,138,6601,京都动画,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,4,19,2,1
