title,season_id,pub_real_date
日常,844,1301673600
3月的狮子 第二季,6445,1507996800
精灵宝可梦 无印,5761,859824000
ReLIFE,5012,1467302400
前进吧！登山少女 第四季,43151,1664899200
银河英雄传说：全新命题 策谋,43149,1664467200
路人超能100 III(灵能百分百 第三季),43141,1664985600
俺物语！！,4197,1428422400
相合之物,41574,1654617600
玉子爱情故事,4155,1398441600
街角魔族 第二季,41520,1652371200
海绵宝宝 中文配音,41013,1643299200
秘密内幕 女警的反击,40257,1641312000
擅长捉弄的高木同学 第三季,40156,1641571200
星之梦～雪圈球～,39288,1629820800
盖亚奥特曼,38693,1621612800
夏目友人帐 唤石者与怪异的访客,38627,1621958400
86－不存在的戰區－（僅限港澳台地區）,38442,1618070400
迪迦奥特曼（中配）,38385,1617120000
迪迦奥特曼,38384,1617120000
奇巧出租车,38245,1637337600
装甲重拳/MEGALOBOX 第二季,38234,1618070400
银魂 第三季,38159,1617120000
银魂 第二季,38158,1617120000
银魂,38157,1616083200
日常,844,1301673600
3月的狮子 第二季,6445,1507996800
精灵宝可梦 无印,5761,859824000
ReLIFE,5012,1467302400
前进吧！登山少女 第四季,43151,1664899200
银河英雄传说：全新命题 策谋,43149,1664467200
路人超能100 III(灵能百分百 第三季),43141,1664985600
俺物语！！,4197,1428422400
相合之物,41574,1654617600
玉子爱情故事,4155,1398441600
街角魔族 第二季,41520,1652371200
海绵宝宝 中文配音,41013,1643299200
秘密内幕 女警的反击,40257,1641312000
擅长捉弄的高木同学 第三季,40156,1641571200
星之梦～雪圈球～,39288,1629820800
盖亚奥特曼,38693,1621612800
夏目友人帐 唤石者与怪异的访客,38627,1621958400
86－不存在的戰區－（僅限港澳台地區）,38442,1618070400
迪迦奥特曼（中配）,38385,1617120000
迪迦奥特曼,38384,1617120000
奇巧出租车,38245,1637337600
装甲重拳/MEGALOBOX 第二季,38234,1618070400
银魂 第三季,38159,1617120000
银魂 第二季,38158,1617120000
银魂,38157,1616083200
佐贺偶像是传奇 卷土重来,37575,1617811200
百变小樱,3756,891878400
赛马娘 第二季,36579,1609689600
Re：从零开始的异世界生活 第二季 后半,36429,1609862400
悠哉日常大王 第三季,36204,1610294400
浪客剑心 追忆篇,3578,919440000
猫和老鼠 旧版,357,-943344000
命运石之门 负荷领域的既视感,3467,1366387200
来自深渊 剧场版总集篇,34544,1600876800
请问您今天要来点兔子吗？BLOOM,34415,1602259200
吹响吧！上低音号～誓言的终章～,28951,1582646400
吹响吧！上低音号 第二季,28937,1475596800
高分少女 第二季,28618,1572019200
凉宫春日的消失,2809,1265385600
擅长捉弄的高木同学 第二季,28006,1562428800
排球少年！！,2727,1396713600
魔法少女小圆 剧场版 [新篇] 叛逆的物语,27063,1382716800
剧场版 悠哉日常大王 Vacation,26632,1551196800
路人超能100 II(灵能百分百 第二季),26297,1546790400
强风吹拂,25742,1538496000
碧蓝之海,24581,1531497600
ReLIFE 完结篇,23884,1523289600
乌龙派出所,2299,834940800
学园奶爸,21775,1515254400
妖精森林的小不点,21717,1515686400
头文字D First Stage,207,1621094400
虫师,1715,1129910400
欢迎光临樱兰高校,1407,1144080000
备长炭,1394,1138809600
家庭教师HITMAN REBORN!,1376,1160150400
幸运星,1293,1175961600
CLANNAD ～AFTER STORY～,1178,1222876800
CLANNAD,1177,1191427200
轻音少女 剧场版,1175,1322841600
轻音少女 第二季,1173,1270483200
轻音少女 第一季,1172,1238601600
天降之物Final 我永远的鸟笼,973,1308931200
会长是女仆大人！,969,1270137600
Angel Beats!,959,1270137600
恶魔奶爸,952,1588694400
白兔糖 特典,894,1310054400
白兔糖,893,1309968000
全职猎人,877,940003200
好想告诉你 第一季,857,1254758400
笨蛋，测验，召唤兽2,843,1309968000
一起一起这里那里,782,1333555200
黑执事,75,1222876800
食梦者。3,729,1349452800
食梦者,727,1285948800
啾咪BABY 日语版,709,1325692800
人类衰退之后,703,1341072000
春宵苦短，少女前进吧,6518,1491494400
IDOLiSH7-偶像星愿-,6485,1515254400
少女终末旅行,6463,1507219200
幻界战线 & BEYOND,6439,1507392000
此花亭奇谭,6425,1507132800
GJ部,637,1357660800
终物语 下,6345,1502467200
学生会的一己之见 Lv.2,632,1350057600
学生会的一己之见,631,1254412800
拽妹黛薇儿 第五季,6298,982512000
蜡笔小新 第六季（中文）,6295,1331222400
蜡笔小新 第五季（中文）,6268,1262275200
蜡笔小新 第四季（中文）,6266,1167580800
蜡笔小新 第三季（中文）,6264,1072886400
蜡笔小新 第二季（中文）,6262,703094400
蜡笔小新 第一季（中文）,6260,703094400
南家三姐妹 我回来了,623,1357315200
变形金刚 领袖之证 第三季（中文版）,6181,1363881600
变形金刚 领袖之证 第二季（中文版）,6180,1330099200
变形金刚 领袖之证 第一季（中文版）,6179,1290700800
珈百璃的堕落 SP,6042,1490284800
月色真美,5989,1491408000
重启咲良田,5983,1491321600
夏目友人帐 第六季,5977,1491926400
元气少女缘结神 新婚篇,5882,1482163200
ACCA13区监察课,5795,1483977600
我的青春恋爱物语果然有问题 续 OVA,5622,1477497600
飞翔的魔女,5617,1460131200
悠哉日常大王 Repeat OAD,5567,1474560000
夏目友人帐 第五季,5550,1475596800
3月的狮子,5523,1475942400
JOJO的奇妙冒险 不灭钻石,5398,1459353600
降世神通：最后的气宗 第一季,5391,1108915200
星际牛仔 SP,5383,909072000
名侦探柯南 瞳孔中的暗杀者,5365,1590076800
名侦探柯南 通往天国的倒计时,5316,1590076800
